volgnr1y;berpmy
100051;ambachtsman
100101;240
100151;comm. in effecten
100201;koopman
100251;ambtenaar
100301;drogist
100351;fabrikanten
100401;koopman
100501;notaris
100451;advocaat
100551;houtvlotter
100601;sleper
100651;zonder
100701;arts
100751;stalhouder
100801;arts
100851;timmerman, makelaar
100901;tabakskoopman
100951;timmerman
101001;cargadoors
101051;ambachtsman
101101;ambachtsman
101151;zonder
101201;koopman
101251;hoogleraar
101301;tabakskoopman
101351;koopman
101401;koopman
101451;koopman
101501;timmerman
101551;koopman
101601;koopman
101651;apotheker
101701;commissionair
101751;koopman
101801;zonder
101851;assuradeurs
101901;ambachtsman
102001;commissionair
102051;apotheker
102101;ambachtsman
102151;slager
102201;ambachtsman
102251;drogist
102301;winkelier
102351;hoogleraar
102401;commissionair
102451;zonder
102501;koopman
102551;ambachtsman
102601;koopman
102651;tabakskoopman
102701;240
102751;apotheker
102801;bakker
102851;ambtenaar
102901;tabakskoopman
103001;artistiek beroep
103051;ambachtsman
103101;timmerman
103151;240
103201;stalhouder
103251;koopman
103301;assuradeurs
103351;makelaar
103401;koopman
103451;zonder
103501;koopman
103601;hoogleraar
103651;commissionair
103701;240
103751;ambachtsman
103801;winkelier
103851;ambachtsman
103901;bakker
103951;commissionair
104001;zonder
104051;assuradeurs
104101;koopman
104201;apotheker
104251;factor
104301;winkelier
104351;tabakskoopman
104401;ambachtsman
104451;boekhouder
104501;ambachtsman
104551;240
104601;zonder
104651;apotheker
104701;koopman
104751;koopman
104801;makelaar
104851;onderwijzer
104901;240
104951;koopman
105001;commissionair
105051;commissionair
105101;winkelier
105201;cargadoors
105151;winkelier
105301;comm. in effecten
105351;boekhouder
105401;arts
105451;koopman
105501;koopman
105551;ambtenaar
105601;fabrikanten
105651;commissionair
105701;pastoor
105751;winkelier
105801;koopman
105851;drogist
105901;makelaar
106001;koopman
106051;zonder
106101;commissionair
106151;comm. in effecten
106201;timmerman
106251;koopman
106301;fabrikanten
106351;ambachtsman
106401;ambachtsman
106451;apotheker
106501;koopman
106551;geemployeerde
106601;zonder
106651;assuradeurs
106701;winkelier
106751;timmerman
106801;commissionair
106851;zonder
106901;advocaat
106951;fabrikanten
107001;gepensioneerd
107051;koopman
107101;arts
107151;bankiers, kassiers
107201;ambtenaar
107251;commissionair
107301;grondeigenaar
107351;ambachtsman
107401;slager
107451;zonder
107501;rechter
107551;koopman
107601;koopman
107651;240
107701;commissionair
107751;zonder
107801;koopman
107851;landbouwer
107901;koopman
107951;kantoorbediende
108001;hoogleraar
108051;ambtenaar
108101;ambtenaar
108151;makelaar
108201;koopman
108251;ambachtsman
108301;zonder
108351;makelaar
108401;arts
108451;fabrikanten
108501;artistiek beroep
108551;wijnkoopman
108601;ambachtsman
108651;240
108701;winkelier
108751;commissionair
108801;kantoorbediende
108851;ambachtsman
108901;commissionair
108951;ambachtsman
109001;zonder
109051;apotheker
109151;koopman
109101;pakhuisopzichter
109201;240
109301;koopman
109351;koopman
109401;vrij beroep
109451;comm. in effecten
109501;ambachtsman
109551;notaris
109601;commissionair
109651;bankiers, kassiers
109701;ambachtsman
109751;advocaat
109801;notaris
109851;pakhuisopzichter
109901;zonder
109951;timmerman, makelaar
110001;commissionair
110051;comm. in effecten
110101;fabrikanten
110151;makelaar
110201;koopman
110251;koopman
110351;notaris
110401;winkelier
110451;240
110501;winkelier
110551;ambachtsman
110601;aannemers
110651;zonder
110701;makelaar
110801;koopman
110851;fabrikanten
110901;zonder
110951;landbouwer
111001;hoogleraar
111051;zonder
111101;zonder
111151;makelaar
111201;koopman
111251;zonder
111301;winkelier
111351;koopman
111401;cargadoors
111451;winkelier
111501;timmerman
111551;directeur
111601;factor
111651;commissionair
111701;arts
111751;tabakskoopman
111801;ambachtsman
111851;240
111901;ambachtsman
111951;240
112001;slager
112051;zonder
112101;comm. in effecten
112151;molenaar
112201;240
112251;koopman
112301;koopman
112351;winkelier
112401;grondeigenaar
112451;predikant
112501;makelaar
112551;koopman
112601;ambachtsman
112651;zonder
112701;zonder
112751;ambachtsman
112801;240
112851;ambachtsman
112901;koopman
113001;makelaar
113051;tabakskoopman
113101;makelaar
113151;winkelier
113201;koopman
113251;bakker
113301;slager
113351;convooiloper
113401;koopman
113451;timmerman
113501;arts
113551;zonder
113601;koopman
113651;koopman
113701;ambachtsman
113751;ambachtsman
113801;koopman
113851;winkelier
113901;ambachtsman
113951;winkelier
114001;schipper
114051;comm. in effecten
114101;rentenier
114151;commissionair
114201;sleper
114251;fabrikanten
114301;directeur
114351;kruidenier
114401;bakker
114451;bakker
114501;kantoorbediende
114551;rentenier
114601;winkelier
114651;kantoorbediende
114701;240
114751;grondeigenaar
114801;zonder
114851;pastoor
114901;drogist
114951;comm. in effecten
115001;winkelier
115051;commissionair
115101;ambachtsman
115151;bakker
115201;zonder
115251;ambtenaar
115351;commissionair
115401;ambtenaar
115451;ambachtsman
115501;koopman
115551;arts
115601;apotheker
115651;ambachtsman
115751;zonder
115801;winkelier
115851;reders
115901;advocaat
115951;grondeigenaar
116001;fabrikanten
116051;koopman
116101;koopman
116151;comm. in effecten
116201;makelaar
116251;koopman
116301;ambachtsman
116401;bakker
116451;geemployeerde
116501;ambachtsman
116551;wijnkoopman
116601;ambachtsman
116651;zonder
116701;koopman
116751;apotheker
116801;makelaar
116851;koopman
116901;comm. in effecten
117001;makelaar
117051;assuradeurs
117101;commissionair
117151;commissionair
117201;240
117251;ambachtsman
117301;comm. in effecten
117351;slager
117401;koopman
117451;apotheker
117501;cargadoors
117551;koopman
117601;koopman
117651;bakker
117701;assuradeurs
117751;koopman
117801;stalhouder
117851;timmerman
117901;kruidenier
117951;ambachtsman
118001;zonder
118051;koopman
118101;makelaar
118151;onderwijzer
118201;winkelier
118251;koopman
118301;arts
118351;makelaar
118401;koopman
118451;onderwijzer
118501;commissionair
118551;fabrikanten
118601;drogist
118651;koopman
118701;koopman
118751;cargadoors
118801;bakker
118851;ambachtsman
118901;wijnkoopman
118951;assuradeurs
119001;tabakswinkelier
119051;advocaat
119101;koopman
119201;ambachtsman
119251;ambachtsman
119301;zonder
119351;koopman
119401;slager
119451;zonder
119501;comm. in effecten
119551;stalhouder
119601;koopman
119651;240
119701;vrij beroep
119751;comm. in effecten
119801;advocaat
119851;wijnkoopman
119901;arts
119951;zonder
120001;advocaat
120051;commissionair
120101;wijnkoopman
120151;tabakskoopman
120201;arts
120251;advocaat
120301;ambachtsman
120351;kantoorbediende
120401;koopman
120451;koopman
120501;ambtenaar
120551;suikerraffinadeurs
120601;ambachtsman
120651;werklieden
120701;kruidenier
120751;makelaar
120801;commissionair
120851;zonder
120901;zonder
120951;assuradeurs
121001;winkelier
121101;zonder
121151;rentenier
121201;tabakskoopman
121251;predikant
121301;240
121351;commissionair
121401;zonder
121451;240
121501;zonder
121551;sleper
121601;koopman
121651;koopman
121701;zonder
121751;wijnkoopman
121801;ambachtsman
121851;ambtenaar
121901;bankiers, kassiers
121951;koopman
122001;arts
122051;zonder
122101;zonder
122151;koopman
122201;assuradeurs
122251;koopman
122301;koopman
122351;apotheker
122401;makelaar
122451;koopman
122501;advocaat
122551;winkelier
122601;koopman
122651;bakker
122701;slager
122751;wijnkoopman
122801;240
122851;kruidenier
122901;wijnkoopman
122951;koopman
123001;timmerman
123051;240
123101;advocaat
123151;zonder
123201;winkelier
123251;ambachtsman
123301;predikant
123351;240
123401;240
123451;240
123501;onderwijzer
123551;ambtenaar
123601;wijnkoopman
123651;ambachtsman
123701;kantoorbediende
123751;koopman
123801;koopman
123851;comm. in effecten
123901;winkelier
123951;240
124001;grondeigenaar
124051;reiziger
124101;koopman
124151;koopman
124201;koopman
124251;fabrikanten
124301;advocaat
124351;makelaar
124401;koopman
124451;winkelier
124501;koopman
124551;timmerman
124601;koopman
124651;timmerman, makelaar
124701;ambachtsman
124751;apotheker
124801;ambachtsman
124851;zonder
124901;ambachtsman
124951;koopman
125001;grondeigenaar
125051;240
125101;arts
125151;koopman
125201;ambtenaar
125251;ambtenaar
125301;zonder
125351;timmerman
125401;makelaar
125451;zonder
125501;zonder
125551;ambachtsman
125601;fabrikanten
125651;wijnkoopman
125701;timmerman
125751;winkelier
125801;zonder
125851;ambachtsman
125901;fabrikanten
125951;commissionair
126001;fabrikanten
126051;bakker
126101;koopman
126151;molenaar
126201;werklieden
126251;zonder
126301;koopman
126351;boekhouder
126401;koopman
126451;ov. zelfstandigen
126501;zonder
126551;ambachtsman
126601;ambachtsman
126651;240
126701;molenaar
126751;advocaat
126801;koopman
126851;commissionair
126901;koopman
126951;koopman
127001;stalhouder
127051;wijnkoopman
127101;commissionair
127151;zonder
127201;bakker
127251;apotheker
127301;winkelier
127351;arts
127401;arts
127451;zonder
127501;koopman
127551;makelaar
127601;comm. in effecten
127651;commissionair
127701;makelaar
127751;zonder
127801;bakker
127851;factor
127901;makelaar
127951;ambachtsman
128001;240
128051;240
128101;onderwijzer
128151;ambtenaar
128201;winkelier
128351;tabakswinkelier
128401;winkelier
128451;zonder
128501;koopman
128551;zonder
128601;drogist
128651;apotheker
128701;timmerman, makelaar
128751;assuradeurs
128801;koopman
128851;koopman
128901;240
128951;zonder
129001;notaris
129101;koopman
129051;koopman
129151;bakker
129201;tabakskoopman
129251;factor
129301;koopman
129351;ambachtsman
129401;koopman
129451;apotheker
129501;ambachtsman
129551;advocaat
129601;makelaar
129651;artistiek beroep
129701;commissionair
129751;ambachtsman
129801;240
129851;comm. in effecten
129901;makelaar
129951;arts
130001;winkelier
130051;commissionair
130101;fabrikanten
130151;fabrikanten
130201;comm. in effecten
130251;koopman
130351;rentenier
130401;arts
130451;gepensioneerd
130501;koopman
130551;koopman
130601;slager
130651;ov. zelfstandigen
130701;commissionair
130751;zonder
130801;wijnkoopman
130851;koopman
130901;commissionair
130951;koopman
131001;koopman
131051;zonder
131101;koopman
131151;timmerman, makelaar
131201;makelaar
131251;koopman
131301;zonder
131351;ambtenaar
131401;koopman
131451;koopman
131501;apotheker
131551;koopman
131601;koopman
131651;ambachtsman
131701;makelaar
131801;wijnkoopman
131851;koopman
131951;comm. in effecten
132001;tabakskoopman
132051;apotheker
132101;ambachtsman
132151;makelaar
132201;tabakskoopman
132251;assuradeurs
132301;rentenier
132351;advocaat
132451;ambachtsman
132501;koopman
132551;zonder
132601;hoogleraar
132651;zonder
132701;ambtenaar
132751;bakker
132801;zonder
132901;koopman
132951;ambachtsman
133001;zonder
133051;directeur
133151;ambachtsman
133201;vrij beroep
133251;kruidenier
133301;advocaat
133351;apotheker
133401;ambachtsman
133451;koopman
133501;koopman
133551;timmerman
133601;makelaar
133651;ambachtsman
133701;assuradeurs
133751;pastoor
133801;koopman
133851;suikerraffinadeurs
133901;240
133951;zonder
134001;ambachtsman
134051;zonder
134101;commissionair
134151;ambachtsman
134201;makelaar
134251;zonder
134301;wijnkoopman
134351;commissionair
134401;makelaar
134451;zonder
134501;comm. in effecten
134551;arts
134601;arts
134651;grondeigenaar
134701;pakhuisopzichter
134751;cargadoors
134801;notaris
134851;zonder
134901;koopman
134951;arts
135001;zonder
135051;kruidenier
135101;koopman
135151;suikerraffinadeurs
135201;artistiek beroep
135251;rechter
135301;ambachtsman
135351;wijnkoopman
135401;predikant
135451;vrij beroep
135501;bankiers, kassiers
135551;koopman
135601;makelaar
135651;240
135701;koopman
135751;makelaar
135801;fabrikanten
135851;hoogleraar
135901;koopman
135951;comm. in effecten
136001;tabakswinkelier
136051;koopman
136101;makelaar
136151;grondeigenaar
136201;koopman
136251;240
136301;zonder
136351;grondeigenaar
136401;stalhouder
136451;wijnkoopman
136501;molenaar
136551;cargadoors
136601;notaris
136651;zonder
136701;koopman
136751;240
136801;zonder
136851;zonder
136901;winkelier
136951;timmerman, makelaar
137051;directeur
137101;timmerman
137151;commissionair
137201;koopman
137251;predikant
137301;koopman
137351;makelaar
137401;koopman
137451;rentenier
137501;cargadoors
137551;commissionair
137601;pakhuisopzichter
137651;onderwijzer
137701;240
137751;zonder
137801;zonder
137851;koopman
137901;240
137951;koopman
138001;commissionair
138051;comm. in effecten
138101;fabrikanten
138151;bankiers, kassiers
138201;zonder
138251;zonder
138301;makelaar
138351;koopman
138401;ambachtsman
138451;fabrikanten
138501;koopman
138551;assuradeurs
138601;comm. in effecten
102951;zonder
104151;fabrikanten
105951;zonder
116351;winkelier
116951;zonder
